date,cases,vaccinations,vaccinated % of population
2020-03-01,1,0,0
2020-03-02,1,0,0
2020-03-03,2,0,0
2020-03-04,3,0,0
2020-03-05,5,0,0
2020-03-06,6,0,0
2020-03-07,6,0,0
2020-03-08,6,0,0
2020-03-09,6,0,0
2020-03-10,5,0,0
2020-03-11,9,0,0
2020-03-12,10,0,0
2020-03-13,19,0,0
2020-03-14,51,0,0
2020-03-15,54,0,0
2020-03-16,68,0,0
2020-03-17,113,0,0
2020-03-18,129,0,0
2020-03-19,161,0,0
2020-03-20,176,0,0
2020-03-21,197,0,0
2020-03-22,218,0,0
2020-03-23,233,0,0
2020-03-24,250,0,0
2020-03-25,274,0,0
2020-03-26,287,0,0
2020-03-27,327,0,0
2020-03-28,321,0,0
2020-03-29,328,0,0
2020-03-30,292,0,0
2020-03-31,273,0,0
2020-04-01,270,0,0
2020-04-02,264,0,0
2020-04-03,279,0,0
2020-04-04,284,0,0
2020-04-05,297,0,0
2020-04-06,297,0,0
2020-04-07,296,0,0
2020-04-08,298,0,0
2020-04-09,289,0,0
2020-04-10,290,0,0
2020-04-11,280,0,0
2020-04-12,273,0,0
2020-04-13,265,0,0
2020-04-14,255,0,0
2020-04-15,263,0,0
2020-04-16,257,0,0
2020-04-17,250,0,0
2020-04-18,255,0,0
2020-04-19,255,0,0
2020-04-20,238,0,0
2020-04-21,233,0,0
2020-04-22,188,0,0
2020-04-23,173,0,0
2020-04-24,171,0,0
2020-04-25,180,0,0
2020-04-26,180,0,0
2020-04-27,161,0,0
2020-04-28,155,0,0
2020-04-29,148,0,0
2020-04-30,138,0,0
2020-05-01,145,0,0
2020-05-02,146,0,0
2020-05-03,150,0,0
2020-05-04,138,0,0
2020-05-05,125,0,0
2020-05-06,118,0,0
2020-05-07,94,0,0
2020-05-08,96,0,0
2020-05-09,99,0,0
2020-05-10,100,0,0
2020-05-11,93,0,0
2020-05-12,89,0,0
2020-05-13,89,0,0
2020-05-14,91,0,0
2020-05-15,98,0,0
2020-05-16,98,0,0
2020-05-17,98,0,0
2020-05-18,92,0,0
2020-05-19,88,0,0
2020-05-20,81,0,0
2020-05-21,84,0,0
2020-05-22,84,0,0
2020-05-23,91,0,0
2020-05-24,99,0,0
2020-05-25,83,0,0
2020-05-26,72,0,0
2020-05-27,68,0,0
2020-05-28,61,0,0
2020-05-29,67,0,0
2020-05-30,78,0,0
2020-05-31,79,0,0
2020-06-01,74,0,0
2020-06-02,72,0,0
2020-06-03,78,0,0
2020-06-04,79,0,0
2020-06-05,77,0,0
2020-06-06,77,0,0
2020-06-07,78,0,0
2020-06-08,68,0,0
2020-06-09,58,0,0
2020-06-10,46,0,0
2020-06-11,46,0,0
2020-06-12,48,0,0
2020-06-13,51,0,0
2020-06-14,57,0,0
2020-06-15,52,0,0
2020-06-16,56,0,0
2020-06-17,54,0,0
2020-06-18,55,0,0
2020-06-19,47,0,0
2020-06-20,49,0,0
2020-06-21,57,0,0
2020-06-22,48,0,0
2020-06-23,55,0,0
2020-06-24,58,0,0
2020-06-25,58,0,0
2020-06-26,57,0,0
2020-06-27,66,0,0
2020-06-28,67,0,0
2020-06-29,61,0,0
2020-06-30,66,0,0
2020-07-01,63,0,0
2020-07-02,61,0,0
2020-07-03,56,0,0
2020-07-04,62,0,0
2020-07-05,64,0,0
2020-07-06,66,0,0
2020-07-07,60,0,0
2020-07-08,59,0,0
2020-07-09,62,0,0
2020-07-10,56,0,0
2020-07-11,56,0,0
2020-07-12,56,0,0
2020-07-13,54,0,0
2020-07-14,52,0,0
2020-07-15,52,0,0
2020-07-16,47,0,0
2020-07-17,44,0,0
2020-07-18,52,0,0
2020-07-19,57,0,0
2020-07-20,59,0,0
2020-07-21,59,0,0
2020-07-22,67,0,0
2020-07-23,92,0,0
2020-07-24,99,0,0
2020-07-25,110,0,0
2020-07-26,122,0,0
2020-07-27,123,0,0
2020-07-28,128,0,0
2020-07-29,133,0,0
2020-07-30,123,0,0
2020-07-31,121,0,0
2020-08-01,122,0,0
2020-08-02,126,0,0
2020-08-03,137,0,0
2020-08-04,115,0,0
2020-08-05,122,0,0
2020-08-06,112,0,0
2020-08-07,107,0,0
2020-08-08,113,0,0
2020-08-09,121,0,0
2020-08-10,127,0,0
2020-08-11,113,0,0
2020-08-12,119,0,0
2020-08-13,112,0,0
2020-08-14,124,0,0
2020-08-15,146,0,0
2020-08-16,156,0,0
2020-08-17,169,0,0
2020-08-18,136,0,0
2020-08-19,143,0,0
2020-08-20,141,0,0
2020-08-21,129,0,0
2020-08-22,131,0,0
2020-08-23,135,0,0
2020-08-24,138,0,0
2020-08-25,88,0,0
2020-08-26,97,0,0
2020-08-27,86,0,0
2020-08-28,88,0,0
2020-08-29,81,0,0
2020-08-30,87,0,0
2020-08-31,88,0,0
2020-09-01,75,0,0
2020-09-02,79,0,0
2020-09-03,97,0,0
2020-09-04,90,0,0
2020-09-05,96,0,0
2020-09-06,98,0,0
2020-09-07,100,0,0
2020-09-08,86,0,0
2020-09-09,81,0,0
2020-09-10,92,0,0
2020-09-11,97,0,0
2020-09-12,103,0,0
2020-09-13,123,0,0
2020-09-14,124,0,0
2020-09-15,97,0,0
2020-09-16,104,0,0
2020-09-17,106,0,0
2020-09-18,124,0,0
2020-09-19,122,0,0
2020-09-20,131,0,0
2020-09-21,146,0,0
2020-09-22,117,0,0
2020-09-23,118,0,0
2020-09-24,125,0,0
2020-09-25,144,0,0
2020-09-26,157,0,0
2020-09-27,173,0,0
2020-09-28,184,0,0
2020-09-29,158,0,0
2020-09-30,181,0,0
2020-10-01,197,0,0
2020-10-02,210,0,0
2020-10-03,230,0,0
2020-10-04,238,0,0
2020-10-05,255,0,0
2020-10-06,229,0,0
2020-10-07,257,0,0
2020-10-08,297,0,0
2020-10-09,337,0,0
2020-10-10,351,0,0
2020-10-11,357,0,0
2020-10-12,383,0,0
2020-10-13,338,0,0
2020-10-14,381,0,0
2020-10-15,393,0,0
2020-10-16,424,0,0
2020-10-17,437,0,0
2020-10-18,443,0,0
2020-10-19,468,0,0
2020-10-20,438,0,0
2020-10-21,478,0,0
2020-10-22,547,0,0
2020-10-23,629,0,0
2020-10-24,689,0,0
2020-10-25,796,0,0
2020-10-26,830,0,0
2020-10-27,781,0,0
2020-10-28,870,0,0
2020-10-29,1007,0,0
2020-10-30,1106,0,0
2020-10-30,1254,0,0
2020-11-01,1269,0,0
2020-11-02,1352,0,0
2020-11-03,1345,0,0
2020-11-04,1354,0,0
2020-11-05,1459,0,0
2020-11-06,1497,0,0
2020-11-07,1504,0,0
2020-11-08,1542,0,0
2020-11-09,1530,0,0
2020-11-10,1461,0,0
2020-11-11,1412,0,0
2020-11-12,1388,0,0
2020-11-13,1417,0,0
2020-11-14,1406,0,0
2020-11-15,1361,0,0
2020-11-16,1405,0,0
2020-11-17,1338,0,0
2020-11-18,1354,0,0
2020-11-19,1414,0,0
2020-11-20,1476,0,0
2020-11-21,1450,0,0
2020-11-22,1451,0,0
2020-11-23,1555,0,0
2020-11-24,1474,0,0
2020-11-25,1538,0,0
2020-11-26,1456,0,0
2020-11-27,1404,0,0
2020-11-28,1327,0,0
2020-11-29,1322,0,0
2020-11-30,1287,0,0
2020-12-01,1200,0,0
2020-12-02,1207,0,0
2020-12-03,1252,0,0
2020-12-04,1293,0,0
2020-12-05,1283,0,0
2020-12-06,1419,0,0
2020-12-07,1394,0,0
2020-12-08,1334,0,0
2020-12-09,1377,0,0
2020-12-10,1508,0,0
2020-12-11,1611,0,0
2020-12-12,1659,0,0
2020-12-13,1712,0,0
2020-12-14,1847,0,0
2020-12-15,1683,0,0
2020-12-16,1775,0,0
2020-12-17,1812,0,0
2020-12-18,1934,0,0
2020-12-19,1952,0,0
2020-12-20,2082,0,0
2020-12-21,2149,0,0
2020-12-22,1855,0,0
2020-12-23,1838,0,0
2020-12-24,1902,0,0
2020-12-25,2039,0,0
2020-12-26,2078,0,0
2020-12-27,1912,180,0.03
2020-12-28,1813,180,0.03
2020-12-29,1744,180,0.03
2020-12-30,1759,180,0.03
2020-12-31,1896,180,0.03
2021-01-01,2006,4300,0.73
2021-01-02,1912,4300,0.73
2021-01-03,1972,4300,0.73
2021-01-04,1799,4300,0.73
2021-01-05,1471,4300,0.73
2021-01-06,1533,5270,0.89
2021-01-07,1671,5270,0.89
2021-01-08,1744,5270,0.89
2021-01-09,1722,5270,0.89
2021-01-10,1813,5270,0.89
2021-01-11,1856,5270,0.89
2021-01-12,1566,5860,0.99
2021-01-13,1587,5860,0.99
2021-01-14,1629,6698,1.13
2021-01-15,1629,6698,1.13
2021-01-16,1558,6698,1.13
2021-01-17,1704,8619,1.46
2021-01-18,1749,8619,1.46
2021-01-19,1400,10134,1.71
2021-01-20,1370,10134,1.71
2021-01-21,1405,10421,1.76
2021-01-22,1430,10421,1.76
2021-01-23,1480,11361,1.92
2021-01-24,1528,11361,1.92
2021-01-25,1612,11361,1.92
2021-01-26,1321,11675,1.98
2021-01-27,1347,11675,1.98
2021-01-28,1290,11675,1.98
2021-01-29,1305,11733,1.99
2021-01-30,1314,11733,1.99
2021-01-31,1382,11733,1.99
2021-02-01,1448,11733,1.99
2021-02-02,1206,11733,1.99
2021-02-03,1157,11809,2.00
2021-02-04,1138,11809,2.00
2021-02-05,1176,12132,2.05
2021-02-06,1119,12132,2.05
2021-02-07,1157,12132,2.05
2021-02-08,1152,13027,2.20
2021-02-09,950,13316,2.25
2021-02-10,910,13780,2.33
2021-02-11,904,14593,2.47
2021-02-12,881,15331,2.59
2021-02-13,874,22283,3.77
2021-02-14,914,22905,3.88
2021-02-15,804,23865,4.04
2021-02-16,725,24195,4.09
2021-02-17,683,24550,4.15
2021-02-18,701,25316,4.28
2021-02-19,703,25980,4.40
2021-02-20,681,28414,4.81
2021-02-21,717,29205,4.94
2021-02-22,730,30373,5.14
2021-02-23,595,31093,5.26
2021-02-24,594,31530,5.33
2021-02-25,600,32268,5.46
2021-02-26,639,32941,5.57
2021-02-27,628,33620,5.69
2021-02-28,651,34317,5.81
2021-03-01,674,34925,5.91
2021-03-02,511,35751,6.05
2021-03-03,515,36604,6.19
2021-03-04,566,38725,6.55
2021-03-05,591,39384,6.66
2021-03-06,587,42070,7.12
2021-03-07,640,42070,7.12
2021-03-08,652,43043,7.28
2021-03-09,549,44569,7.54
2021-03-10,560,46257,7.83
2021-03-11,605,49210,8.33
2021-03-12,660,49210,8.33
2021-03-13,673,50601,8.56
2021-03-14,776,51091,8.64
2021-03-15,803,52675,8.91
2021-03-16,737,53863,9.11
2021-03-17,767,54531,9.23
2021-03-18,810,55122,9.33
2021-03-19,898,55683,9.42
2021-03-20,926,56945,9.63
2021-03-21,978,58173,9.84
2021-03-22,1024,59701,10.10
2021-03-23,961,60624,10.26
2021-03-24,1005,62394,10.56
2021-03-25,1039,63974,10.82
2021-03-26,1120,66026,11.17
2021-03-27,1130,67617,11.44
2021-03-28,1206,69493,11.76
2021-03-29,1280,71466,12.09
2021-03-30,1302,73168,12.38
2021-03-31,1317,75278,12.74
2021-04-01,1407,77153,13.05
2021-04-02,1546,78958,13.36
2021-04-03,1570,80088,13.55
2021-04-04,1533,81622,13.81
2021-04-05,1533,81622,13.81
2021-04-06,1597,85022,14.39
2021-04-07,1519,89535,15.15
2021-04-08,1535,91880,15.55
2021-04-09,1556,94684,16.02
2021-04-10,1654,96703,16.36
2021-04-11,1705,98625,16.69
2021-04-12,1719,100633,17.03
2021-04-13,1531,103126,17.45
2021-04-14,1489,107214,18.14
2021-04-15,1573,109451,18.52
2021-04-16,1485,113186,19.15
2021-04-17,1412,114335,19.34
2021-04-18,1470,116665,19.74
2021-04-19,1510,118633,20.07
2021-04-20,1542,120344,20.36
2021-04-21,1506,122082,20.66
2021-04-22,1632,123715,20.93
2021-04-23,1686,125349,21.21
2021-04-24,1739,127325,21.54
2021-04-25,1819,129791,21.96
2021-04-26,1872,131615,22.27
2021-04-27,1759,134397,22.74
2021-04-28,1738,135997,23.01
2021-04-29,1764,137515,23.27
2021-04-30,1849,139019,23.52
2021-05-01,1843,161211,27.28
2021-05-02,1942,163460,27.66
2021-05-03,1978,165759,28.15
2021-05-04,1742,169425,28.77
2021-05-05,1621,172053,29.22
2021-05-06,1603,179051,30.41
2021-05-07,1610,182593,31.01
2021-05-08,1549,188350,31.99
2021-05-09,1572,190694,32.39
2021-05-10,1596,192655,32.72
2021-05-11,1360,196786,33.42
2021-05-12,1289,200818,34.11
2021-05-13,1175,209344,35.55
2021-05-14,1200,210860,35.81
2021-05-15,1200,212619,36.11
2021-05-16,1200,214036,36.35
2021-05-17,1211,215689,36.63
2021-05-18,937,224026,38.05
2021-05-19,887,227028,38.56
2021-05-20,886,231596,39.33
2021-05-21,826,233422,39.64
2021-05-22,774,236514,40.17
2021-05-23,784,237755,40.38
2021-05-24,784,238789,40.55
2021-05-25,783,240121,40.78
2021-05-26,688,242094,41.12
2021-05-27,597,247894,42.1
2021-05-28,577,249522,42.38
2021-05-29,557,255103,43.33
2021-05-30,570,256377,43.54
2021-05-31,570,257348,43.71
2021-06-01,521,260561,44.25
2021-06-02,486,276839,47.02
2021-06-03,463,303884,51.61
2021-06-04,486,303916,51.62
2021-06-05,458,303940,51.62
2021-06-06,461,304022,51.63
2021-06-07,470,304122,51.65
2021-06-08,375,278005,47.21
2021-06-09,295,283466,48.14
2021-06-10,282,282540,47.98
2021-06-11,259,284107,48.25
2021-06-12,252,286340,48.63
2021-06-13,242,286340,48.63
2021-06-14,242,286411,48.64
2021-06-15,208,289130,49.1
2021-06-16,188,289134,49.1
2021-06-17,165,294256,49.97
2021-06-18,160,295810,50.24
2021-06-19,154,297949,50.6
2021-06-20,160,298100,50.63
2021-06-21,171,298125,50.63
2021-06-22,147,300467,51.03
2021-06-23,145,301264,51.16
2021-06-24,144,304239,51.67
2021-06-25,111,305581,51.9
2021-06-26,111,309267,52.52
2021-06-27,115,309267,52.52
2021-06-28,119,310677,52.76
2021-06-29,105,313757,53.29
2021-06-30,111,316040,53.67
2021-07-01,116,319457,54.25
2021-07-02,122,321755,54.64
2021-07-03,123,327021,55.54
2021-07-04,123,327021,55.54
2021-07-05,127,327812,55.67
2021-07-06,96,330888,56.2
2021-07-07,102,332772,56.52
2021-07-08,99,335574,56.99
